STT,Tên khoa/trường,Điểm chuẩn
,,(thấp nhất - cao nhất)
1,Đại học Ngoại thương,"27-28,15 (thang 30)"
,,"34,8-36,25 (thang 40)"
2,Đại học Bách khoa Hà Nội,"22,5-29,04"
3,Đại học Bách khoa TP HCM,"20,5-28"
4,Đại học Ngân hàng TP HCM,"22,3-25,54"
5,Đại học Kinh tế TP HCM,"22-27,6"
6,Đại học Công nghệ Thông tin TP HCM,"22-27,7"
7,Đại học Giao thông Vận tải,"16,05-25"
8,Đại học Công đoàn,"14,5-23,25"
9,Đại học Tài nguyên và Môi trường,15-21
10,Đại học Xây dựng,"16-24,25"
11,Học viện Ngân hàng,"21,5-27"
12,Đại học Y khoa Phạm Ngọc Thạnh,"19-27,55"
13,Đại học Nha Trang,"15-23,5"
14,Đại học Thăng Long,"16,75-24,2"
15,Đại học Kinh tế quốc dân,"24,5-35,6 (có môn hệ số 2)"
16,Đại học Thương mại,"24-26,7"
17,Đại học Luật TP HCM,"26,25-27"
18,Đại học Khoa học Tự nhiên (Đại học Quốc gia Hà Nội),"17-26,1"
19,Đại học Khoa học Xã hội và Nhân văn (Đại học Quốc gia Hà Nội),18-30
20,Đại học Ngoại ngữ (Đại học Quốc gia Hà Nội),"24,86-36,08"
21,Đại học Kinh tế (Đại học Quốc gia Hà Nội),"30,57-34,5 (tiếng Anh hệ số 2)"
22,Đại học Công nghệ (Đại học Quốc gia Hà Nội),"22,4-28,1"
23,Đại học Giáo dục (Đại học Quốc gia Hà Nội),"17-25,3"
24,Đại học Việt Nhật (Đại học Quốc gia Hà Nội),"19,4"
25,Khoa Luật (Đại học Quốc gia Hà Nội),"23,25-27,5"
26,Khoa Quản trị và Kinh doanh (Đại học Quốc gia Hà Nội),"17,2-18,35"
27,Khoa Y dược (Đại học Quốc gia Hà Nội),"24,9-28,35"
28,Khoa Quốc tế (Đại học Quốc gia Hà Nội),"17-23,25"
29,Đại học Sư phạm TP HCM,"19-26,5"
30,Đại học Y Hà Nội,"22,4-28,9"
31,Học viện Y học cổ truyền,"24,15-26,1"
32,Đại học Kỹ thuật Y tế Hải Dương,"19-26,1"
33,Đại học Sư phạm Kỹ thuật TP HCM,16-27
34,Học viện Tài chính,"24,7-32,7 (có môn hệ số 2)"
35,Đại học Sài Gòn,"15,5-26,18"
36,Đại học Lâm nghiệp,15-18
37,Đại học Công nghệ Giao thông Vận tải,15-24
38,Đại học Nông lâm TP HCM,"15-24,5"
39,Học viện Báo chí và Tuyên truyền,"16-36,75 (có môn hệ số 2)"
40,Đại học Công nghiệp TP HCM,"15-24,5"
41,Đại học Giao thông Vận tải TP HCM,"15-25,4"
42,Đại học Mở Hà Nội,"17,05-31,12 (có môn hệ số 2)"
43,Đại học Điện lực,15-20
44,Học viện Ngoại giao,"25,6-34,75 (có môn hệ số 2)"
45,Đại học Mỏ - Địa chất,15-25
46,Học viện Chính sách và Phát triển,"18,25-22,75"
47,Đại học Bách khoa (Đại học Đà Nẵng),"15,5-27,5"
48,Đại học Kinh tế (Đại học Đà Nẵng),"22-26,75"
49,Đại học Sư phạm (Đại học Đà Nẵng),"15-21,5"
50,Đại học Ngoại ngữ (Đại học Đà Nẵng),"15,03-26,4"
51,Đại học Sư phạm Kỹ thuật (Đại học Đà Nẵng),"15,05-23,45"
52,Phân hiệu Kon Tum (Đại học Đà Nẵng),"14,35-20,5"
53,Viện nghiên cứu và đào tạo Việt - Anh (Đại học Đà Nẵng),"19,5-23,6"
54,Khoa Y Dược (Đại học Đà Nẵng),"19,7-26,5"
55,Khoa Công nghệ thông tin và Truyền thông (Đại học Đà Nẵng),18
